"Subject" "Condition" "Block" "TB" "TrialNum" "Trial" "Lat"
122 "S1" "T" "1" "48" "2" "122" 387.308
123 "S1" "T" "1" "7" "5" "123" 341.154
124 "S1" "T" "1" "15" "4" "124" 387.308
125 "S1" "T" "1" "13" "4" "125" 325.769
126 "S1" "T" "1" "49" "2" "126" 364.231
127 "S1" "T" "1" "62" "4" "127" 325.769
128 "S1" "T" "1" "7" "6" "128" 325.769
129 "S1" "NT" "2" "56" "1" "1" 556.538
130 "S1" "NT" "2" "11" "1" "2" 371.923
131 "S1" "NT" "2" "17" "1" "3" 318.077
132 "S1" "NT" "2" "4" "1" "4" 295.000
133 "S1" "NT" "2" "62" "1" "5" 402.692
134 "S1" "NT" "2" "5" "1" "6" 418.077
135 "S1" "NT" "2" "15" "1" "7" 379.615
136 "S1" "NT" "2" "4" "2" "8" 387.308
137 "S1" "NT" "2" "58" "1" "9" 418.077
138 "S1" "NT" "2" "16" "1" "10" 348.846
139 "S1" "NT" "2" "3" "1" "11" 571.923
140 "S1" "NT" "2" "11" "2" "12" 379.615
141 "S1" "NT" "2" "8" "1" "13" 371.923
142 "S1" "NT" "2" "14" "1" "14" 371.923
143 "S1" "NT" "2" "23" "1" "15" 271.923
144 "S1" "NT" "2" "57" "1" "16" 418.077
145 "S1" "NT" "2" "63" "1" "17" 341.154
146 "S1" "NT" "2" "6" "1" "18" 395.000
147 "S1" "NT" "2" "54" "1" "19" 441.154
148 "S1" "NT" "2" "1" "1" "20" 464.231
149 "S1" "NT" "2" "7" "1" "21" 395.000
150 "S1" "NT" "2" "20" "1" "22" 471.923
151 "S1" "NT" "2" "15" "2" "23" 433.462
152 "S1" "NT" "2" "59" "1" "24" 448.846
153 "S1" "NT" "2" "9" "1" "25" 395.000
154 "S1" "NT" "2" "21" "1" "26" 410.385
155 "S1" "NT" "2" "48" "1" "27" 410.385
156 "S1" "NT" "2" "52" "1" "28" 502.692
157 "S1" "NT" "2" "7" "2" "29" 471.923
158 "S1" "NT" "2" "0" "1" "30" 495.000
159 "S1" "NT" "2" "60" "1" "31" 395.000
160 "S1" "NT" "2" "4" "3" "32" 356.538
161 "S1" "NT" "2" "6" "2" "33" 271.923
162 "S1" "NT" "2" "2" "1" "34" 295.000
163 "S1" "NT" "2" "55" "1" "35" 348.846
164 "S1" "NT" "2" "2" "2" "36" 395.000
165 "S1" "NT" "2" "22" "1" "37" 333.462
166 "S1" "NT" "2" "53" "1" "38" 402.692
167 "S1" "NT" "2" "56" "2" "39" 379.615
168 "S1" "NT" "2" "10" "1" "40" 425.769
169 "S1" "NT" "2" "62" "2" "41" 379.615
170 "S1" "NT" "2" "12" "1" "42" 402.692
171 "S1" "NT" "2" "58" "2" "43" 356.538
172 "S1" "NT" "2" "3" "2" "44" 441.154
173 "S1" "NT" "2" "1" "2" "45" 295.000
174 "S1" "NT" "2" "18" "1" "46" 418.077
175 "S1" "NT" "2" "5" "2" "47" 379.615
176 "S1" "NT" "2" "6" "3" "48" 379.615
177 "S1" "NT" "2" "9" "2" "49" 341.154
178 "S1" "NT" "2" "61" "1" "50" 371.923
179 "S1" "NT" "2" "0" "2" "51" 433.462
180 "S1" "NT" "2" "60" "2" "52" 425.769
181 "S1" "NT" "2" "13" "1" "53" 395.000
182 "S1" "NT" "2" "13" "2" "54" 410.385
183 "S1" "NT" "2" "51" "1" "55" 425.769
184 "S1" "NT" "2" "5" "3" "56" 433.462
185 "S1" "NT" "2" "7" "3" "57" 364.231
186 "S1" "NT" "2" "49" "1" "58" 371.923
187 "S1" "NT" "2" "50" "1" "59" 402.692
188 "S1" "NT" "2" "2" "3" "60" 471.923
189 "S1" "NT" "2" "3" "3" "61" 433.462
190 "S1" "NT" "2" "0" "3" "62" 410.385
191 "S1" "NT" "2" "19" "1" "63" 402.692
192 "S1" "NT" "2" "1" "3" "64" 364.231
193 "S1" "NT" "2" "6" "4" "65" 371.923
194 "S1" "NT" "2" "1" "4" "66" 341.154
195 "S1" "NT" "2" "7" "4" "67" 410.385
196 "S1" "NT" "2" "3" "4" "68" 379.615
197 "S1" "NT" "2" "0" "4" "69" 387.308
198 "S1" "NT" "2" "52" "2" "70" 595.000
199 "S1" "NT" "2" "20" "2" "71" 418.077
200 "S1" "NT" "2" "3" "5" "72" 395.000
201 "S1" "NT" "2" "11" "3" "73" 425.769
202 "S1" "NT" "2" "18" "2" "74" NaN
203 "S1" "NT" "2" "15" "3" "75" 495.000
204 "S1" "NT" "2" "0" "5" "76" 325.769
205 "S1" "NT" "2" "63" "2" "77" 418.077
206 "S1" "NT" "2" "62" "3" "78" NaN
207 "S1" "NT" "2" "60" "3" "79" 395.000
208 "S1" "NT" "2" "2" "4" "80" 410.385
209 "S1" "NT" "2" "59" "2" "81" 379.615
210 "S1" "NT" "2" "1" "5" "82" 456.538
211 "S1" "NT" "2" "23" "2" "83" 402.692
212 "S1" "NT" "2" "50" "2" "84" 395.000
213 "S1" "NT" "2" "21" "2" "85" 410.385
214 "S1" "NT" "2" "15" "4" "86" 371.923
215 "S1" "NT" "2" "16" "2" "87" 325.769
216 "S1" "NT" "2" "6" "5" "88" 425.769
217 "S1" "NT" "2" "56" "3" "89" 410.385
218 "S1" "NT" "2" "5" "4" "90" 387.308
219 "S1" "NT" "2" "5" "5" "91" 364.231
220 "S1" "NT" "2" "58" "3" "92" 379.615
221 "S1" "NT" "2" "2" "5" "93" 418.077
222 "S1" "NT" "2" "11" "4" "94" 356.538
223 "S1" "NT" "2" "7" "5" "95" 464.231
224 "S1" "NT" "2" "62" "4" "96" 441.154
225 "S1" "NT" "2" "8" "2" "97" 371.923
226 "S1" "NT" "2" "5" "6" "98" 325.769
227 "S1" "NT" "2" "57" "2" "99" 395.000
228 "S1" "NT" "2" "19" "2" "100" 364.231
229 "S1" "NT" "2" "3" "6" "101" 664.231
230 "S1" "NT" "2" "10" "2" "102" 402.692
231 "S1" "NT" "2" "55" "2" "103" 456.538
232 "S1" "NT" "2" "9" "3" "104" 387.308
233 "S1" "NT" "2" "13" "3" "105" 410.385
234 "S1" "NT" "2" "60" "4" "106" 433.462
235 "S1" "NT" "2" "1" "6" "107" 379.615
236 "S1" "NT" "2" "4" "4" "108" 356.538
237 "S1" "NT" "2" "12" "2" "109" 441.154
238 "S1" "NT" "2" "9" "4" "110" 387.308
239 "S1" "NT" "2" "0" "6" "111" 548.846
240 "S1" "NT" "2" "7" "6" "112" 410.385
241 "S1" "NT" "2" "54" "2" "113" 418.077
242 "S1" "NT" "2" "4" "5" "114" 441.154
243 "S1" "NT" "2" "48" "2" "115" 387.308
244 "S1" "NT" "2" "22" "2" "116" 364.231
245 "S1" "NT" "2" "56" "4" "117" 395.000
246 "S1" "NT" "2" "4" "6" "118" 371.923
247 "S1" "NT" "2" "49" "2" "119" 418.077
248 "S1" "NT" "2" "53" "2" "120" NaN
249 "S1" "NT" "2" "2" "6" "121" 395.000
250 "S1" "NT" "2" "14" "2" "122" 364.231
251 "S1" "NT" "2" "17" "2" "123" 356.538
252 "S1" "NT" "2" "6" "6" "124" 418.077
253 "S1" "NT" "2" "13" "4" "125" 371.923
254 "S1" "NT" "2" "61" "2" "126" 456.538
255 "S1" "NT" "2" "58" "4" "127" 371.923
256 "S1" "NT" "2" "51" "2" "128" 379.615
257 "S1" "T" "3" "59" "1" "1" 456.538
258 "S1" "T" "3" "0" "1" "2" 379.615
259 "S1" "T" "3" "16" "1" "3" NaN
260 "S1" "T" "3" "56" "1" "4" 418.077
261 "S1" "T" "3" "10" "1" "5" 379.615
262 "S1" "T" "3" "52" "1" "6" 379.615
263 "S1" "T" "3" "4" "1" "7" 348.846
264 "S1" "T" "3" "60" "1" "8" 379.615
265 "S1" "T" "3" "11" "1" "9" 364.231
266 "S1" "T" "3" "58" "1" "10" 371.923
267 "S1" "T" "3" "15" "1" "11" 333.462
268 "S1" "T" "3" "48" "1" "12" 371.923
269 "S1" "T" "3" "23" "1" "13" 318.077
270 "S1" "T" "3" "6" "1" "14" 425.769
271 "S1" "T" "3" "3" "1" "15" 379.615
272 "S1" "T" "3" "55" "1" "16" 364.231
273 "S1" "T" "3" "2" "1" "17" 425.769
274 "S1" "T" "3" "4" "2" "18" 402.692
275 "S1" "T" "3" "22" "1" "19" 325.769
276 "S1" "T" "3" "14" "1" "20" 318.077
277 "S1" "T" "3" "1" "1" "21" 156.538
278 "S1" "T" "3" "62" "1" "22" 333.462
279 "S1" "T" "3" "62" "2" "23" 348.846
280 "S1" "T" "3" "19" "1" "24" 364.231
281 "S1" "T" "3" "3" "2" "25" 348.846
282 "S1" "T" "3" "9" "1" "26" 402.692
283 "S1" "T" "3" "49" "1" "27" 348.846
284 "S1" "T" "3" "13" "1" "28" 371.923
285 "S1" "T" "3" "18" "1" "29" 364.231
286 "S1" "T" "3" "54" "1" "30" 364.231
287 "S1" "T" "3" "5" "1" "31" 418.077
288 "S1" "T" "3" "61" "1" "32" 371.923
289 "S1" "T" "3" "56" "2" "33" 295.000
290 "S1" "T" "3" "53" "1" "34" 341.154
291 "S1" "T" "3" "6" "2" "35" 364.231
292 "S1" "T" "3" "20" "1" "36" 425.769
293 "S1" "T" "3" "2" "2" "37" 433.462
294 "S1" "T" "3" "5" "2" "38" 418.077
295 "S1" "T" "3" "8" "1" "39" 410.385
296 "S1" "T" "3" "57" "1" "40" 410.385
297 "S1" "T" "3" "0" "2" "41" 318.077
298 "S1" "T" "3" "7" "1" "42" 333.462
299 "S1" "T" "3" "3" "3" "43" 356.538
300 "S1" "T" "3" "0" "3" "44" 418.077
301 "S1" "T" "3" "9" "2" "45" 410.385
302 "S1" "T" "3" "50" "1" "46" 410.385
303 "S1" "T" "3" "63" "1" "47" 395.000
304 "S1" "T" "3" "1" "2" "48" 379.615
305 "S1" "T" "3" "15" "2" "49" 364.231
306 "S1" "T" "3" "1" "3" "50" 402.692
307 "S1" "T" "3" "2" "3" "51" 402.692
308 "S1" "T" "3" "13" "2" "52" 295.000
309 "S1" "T" "3" "51" "1" "53" 371.923
310 "S1" "T" "3" "4" "3" "54" 371.923
311 "S1" "T" "3" "60" "2" "55" 333.462
312 "S1" "T" "3" "7" "2" "56" 410.385
313 "S1" "T" "3" "6" "3" "57" 341.154
314 "S1" "T" "3" "7" "3" "58" 379.615
315 "S1" "T" "3" "5" "3" "59" 402.692
316 "S1" "T" "3" "21" "1" "60" 410.385
317 "S1" "T" "3" "11" "2" "61" 356.538
318 "S1" "T" "3" "17" "1" "62" 318.077
319 "S1" "T" "3" "12" "1" "63" 402.692
320 "S1" "T" "3" "58" "2" "64" 379.615
321 "S1" "T" "3" "4" "4" "65" 333.462
322 "S1" "T" "3" "1" "4" "66" 410.385
323 "S1" "T" "3" "51" "2" "67" 395.000
324 "S1" "T" "3" "9" "3" "68" 387.308
325 "S1" "T" "3" "0" "4" "69" 348.846
326 "S1" "T" "3" "6" "4" "70" 395.000
327 "S1" "T" "3" "3" "4" "71" 364.231
328 "S1" "T" "3" "7" "4" "72" 371.923
329 "S1" "T" "3" "52" "2" "73" 379.615
330 "S1" "T" "3" "21" "2" "74" 433.462
331 "S1" "T" "3" "58" "3" "75" 348.846
332 "S1" "T" "3" "60" "3" "76" 395.000
333 "S1" "T" "3" "63" "2" "77" 341.154
334 "S1" "T" "3" "3" "5" "78" 310.385
335 "S1" "T" "3" "48" "2" "79" 356.538
336 "S1" "T" "3" "2" "4" "80" 402.692
337 "S1" "T" "3" "5" "4" "81" 364.231
338 "S1" "T" "3" "61" "2" "82" 395.000
339 "S1" "T" "3" "17" "2" "83" 371.923
340 "S1" "T" "3" "18" "2" "84" 410.385
341 "S1" "T" "3" "23" "2" "85" 387.308
342 "S1" "T" "3" "3" "6" "86" 456.538
343 "S1" "T" "3" "13" "3" "87" 310.385
344 "S1" "T" "3" "4" "5" "88" 395.000
345 "S1" "T" "3" "6" "5" "89" 387.308
346 "S1" "T" "3" "10" "2" "90" 402.692
347 "S1" "T" "3" "2" "5" "91" 341.154
348 "S1" "T" "3" "0" "5" "92" 333.462
349 "S1" "T" "3" "58" "4" "93" 433.462
350 "S1" "T" "3" "62" "3" "94" 410.385
351 "S1" "T" "3" "22" "2" "95" 371.923
352 "S1" "T" "3" "12" "2" "96" 295.000
353 "S1" "T" "3" "62" "4" "97" 348.846
354 "S1" "T" "3" "11" "3" "98" 371.923
355 "S1" "T" "3" "13" "4" "99" 410.385
356 "S1" "T" "3" "56" "3" "100" 318.077
357 "S1" "T" "3" "19" "2" "101" 425.769
358 "S1" "T" "3" "5" "5" "102" 418.077
359 "S1" "T" "3" "53" "2" "103" 402.692
360 "S1" "T" "3" "9" "4" "104" 387.308
361 "S1" "T" "3" "14" "2" "105" 418.077
362 "S1" "T" "3" "5" "6" "106" 387.308
363 "S1" "T" "3" "16" "2" "107" 402.692
364 "S1" "T" "3" "7" "5" "108" 456.538
365 "S1" "T" "3" "15" "3" "109" 402.692
366 "S1" "T" "3" "49" "2" "110" 402.692
367 "S1" "T" "3" "55" "2" "111" 371.923
368 "S1" "T" "3" "50" "2" "112" 318.077
369 "S1" "T" "3" "1" "5" "113" 425.769
370 "S1" "T" "3" "56" "4" "114" 433.462
371 "S1" "T" "3" "59" "2" "115" 448.846
372 "S1" "T" "3" "6" "6" "116" 395.000
373 "S1" "T" "3" "11" "4" "117" 348.846
374 "S1" "T" "3" "1" "6" "118" 356.538
375 "S1" "T" "3" "15" "4" "119" 418.077
376 "S1" "T" "3" "57" "2" "120" 387.308
377 "S1" "T" "3" "7" "6" "121" 464.231
378 "S1" "T" "3" "2" "6" "122" 418.077
379 "S1" "T" "3" "60" "4" "123" 471.923
380 "S1" "T" "3" "54" "2" "124" 364.231
381 "S1" "T" "3" "4" "6" "125" 433.462
382 "S1" "T" "3" "20" "2" "126" 402.692
383 "S1" "T" "3" "8" "2" "127" 395.000
384 "S1" "T" "3" "0" "6" "128" 395.000
385 "S2" "T" "1" "7" "1" "1" 456.538
