"PDist" "Block" "Cond" "TB" "Subj"
152 0.04670 "2" "1" "10" "S1"
153 0.02810 "2" "1" "10" "S1"
154 0.01155 "2" "1" "11" "S1"
155 0.00222 "2" "1" "11" "S1"
156 0.04997 "2" "1" "15" "S1"
157 0.08626 "2" "1" "15" "S1"
158 0.01652 "2" "1" "16" "S1"
159 0.02136 "2" "1" "16" "S1"
160 0.13828 "2" "1" "17" "S1"
161 0.01651 "2" "1" "17" "S1"
162 0.05399 "2" "1" "17" "S1"
163 0.02290 "2" "1" "17" "S1"
164 0.05740 "2" "1" "17" "S1"
165 0.09753 "2" "1" "17" "S1"
166 0.05399 "2" "1" "18" "S1"
167 0.06693 "2" "1" "18" "S1"
168 0.02655 "2" "1" "19" "S1"
169 0.06850 "2" "1" "23" "S1"
170 0.02193 "2" "1" "23" "S1"
171 0.03948 "2" "1" "24" "S1"
172 0.03100 "2" "1" "24" "S1"
173 0.03229 "2" "1" "24" "S1"
174 0.02523 "2" "1" "24" "S1"
175 0.02502 "2" "1" "25" "S1"
176 0.00825 "2" "1" "25" "S1"
177 0.08559 "2" "1" "25" "S1"
178 0.03196 "2" "1" "25" "S1"
179 0.04315 "2" "1" "25" "S1"
180 0.04433 "2" "1" "25" "S1"
181 0.03309 "2" "1" "26" "S1"
182 0.05865 "2" "1" "26" "S1"
183 0.08013 "2" "1" "26" "S1"
184 0.05649 "2" "1" "26" "S1"
185 0.07105 "2" "1" "27" "S1"
186 0.07580 "2" "1" "27" "S1"
187 0.07515 "2" "1" "31" "S1"
188 0.03493 "2" "1" "31" "S1"
189 0.00866 "2" "1" "32" "S1"
190 0.08588 "2" "1" "32" "S1"
191 0.11568 "2" "1" "33" "S1"
192 0.04049 "2" "1" "33" "S1"
193 0.04753 "2" "1" "33" "S1"
194 0.03155 "2" "1" "33" "S1"
195 0.00775 "2" "1" "33" "S1"
196 0.03770 "2" "1" "33" "S1"
197 0.05946 "2" "1" "34" "S1"
198 0.04912 "2" "1" "34" "S1"
199 0.04677 "2" "1" "35" "S1"
200 0.03735 "2" "1" "35" "S1"
201 0.10285 "2" "1" "39" "S1"
202 0.12973 "2" "1" "39" "S1"
203 0.03126 "2" "1" "40" "S1"
204 0.01861 "2" "1" "40" "S1"
205 0.08484 "2" "1" "40" "S1"
206 0.05858 "2" "1" "40" "S1"
207 0.02895 "2" "1" "41" "S1"
208 0.04175 "2" "1" "41" "S1"
209 0.08802 "2" "1" "41" "S1"
210 0.00986 "2" "1" "41" "S1"
211 0.01416 "2" "1" "41" "S1"
212 0.04039 "2" "1" "41" "S1"
213 0.02808 "2" "1" "42" "S1"
214 0.06676 "2" "1" "42" "S1"
215 0.05292 "2" "1" "42" "S1"
216 0.00248 "2" "1" "42" "S1"
217 0.05116 "2" "1" "43" "S1"
218 0.10553 "2" "1" "43" "S1"
219 0.07938 "2" "1" "47" "S1"
220 0.03889 "2" "1" "48" "S1"
221 0.02304 "2" "1" "48" "S1"
222 0.02142 "2" "1" "49" "S1"
223 0.03634 "2" "1" "49" "S1"
224 0.00751 "2" "1" "49" "S1"
225 0.01241 "2" "1" "49" "S1"
226 0.02108 "2" "1" "49" "S1"
227 0.02864 "2" "1" "49" "S1"
228 0.03771 "2" "1" "50" "S1"
229 0.01417 "2" "1" "50" "S1"
230 0.01955 "2" "1" "51" "S1"
231 0.07842 "2" "1" "51" "S1"
232 0.06284 "2" "1" "55" "S1"
233 0.00778 "2" "1" "55" "S1"
234 0.02147 "2" "1" "56" "S1"
235 0.07192 "2" "1" "56" "S1"
