"PDist" "Group" "Cond" "TB" "Subj"
152 0.07031 "1" "0" "15" "S1"
153 0.03520 "1" "0" "15" "S1"
154 0.02503 "1" "0" "16" "S1"
155 0.01473 "1" "0" "16" "S1"
156 0.02105 "1" "0" "17" "S1"
157 0.02787 "1" "0" "17" "S1"
158 0.10218 "1" "0" "17" "S1"
159 0.05509 "1" "0" "17" "S1"
160 0.01419 "1" "0" "17" "S1"
161 0.01158 "1" "0" "17" "S1"
162 0.00859 "1" "0" "18" "S1"
163 0.01940 "1" "0" "18" "S1"
164 0.05656 "1" "0" "19" "S1"
165 0.04614 "1" "0" "23" "S1"
166 0.03124 "1" "0" "23" "S1"
167 0.01046 "1" "0" "24" "S1"
168 0.01990 "1" "0" "24" "S1"
169 0.00783 "1" "0" "24" "S1"
170 0.03398 "1" "0" "24" "S1"
171 0.04005 "1" "0" "25" "S1"
172 0.10926 "1" "0" "25" "S1"
173 0.02497 "1" "0" "25" "S1"
174 0.04263 "1" "0" "25" "S1"
175 0.04041 "1" "0" "25" "S1"
176 0.02616 "1" "0" "25" "S1"
177 0.06448 "1" "0" "26" "S1"
178 0.05057 "1" "0" "26" "S1"
179 0.04780 "1" "0" "26" "S1"
180 0.05091 "1" "0" "26" "S1"
181 0.03520 "1" "0" "27" "S1"
182 0.01426 "1" "0" "27" "S1"
183 0.05645 "1" "0" "31" "S1"
184 0.01593 "1" "0" "31" "S1"
185 0.03866 "1" "0" "32" "S1"
186 0.09106 "1" "0" "32" "S1"
187 0.02734 "1" "0" "33" "S1"
188 0.05847 "1" "0" "33" "S1"
189 0.03805 "1" "0" "33" "S1"
190 0.03427 "1" "0" "33" "S1"
191 0.03756 "1" "0" "33" "S1"
192 0.03306 "1" "0" "33" "S1"
193 0.02730 "1" "0" "34" "S1"
194 0.03183 "1" "0" "34" "S1"
195 0.09285 "1" "0" "35" "S1"
196 0.16485 "1" "0" "35" "S1"
197 0.11116 "1" "0" "39" "S1"
198 0.13072 "1" "0" "39" "S1"
