Lat Vpeak Err Block Subj Trial
160 264.000 0.689 1.182 2 2 80
161 257.000 0.622 0.763 2 2 81
162 249.000 0.787 0.514 2 2 82
163 286.000 0.668 0.498 2 2 83
164 257.000 0.743 1.924 2 2 84
165 279.000 0.651 0.185 2 2 85
166 309.000 0.689 0.372 2 2 86
167 249.000 0.601 0.846 2 2 87
168 257.000 0.728 0.419 2 2 88
169 249.000 0.675 0.711 2 2 89
170 233.000 0.626 0.285 2 2 90
171 272.000 0.741 2.003 2 2 91
172 271.000 0.567 0.673 2 2 92
173 304.000 0.652 0.809 2 2 93
174 241.000 0.599 0.926 2 2 94
175 256.000 0.584 0.378 2 2 95
176 311.000 0.667 0.569 2 2 96
177 272.000 0.697 1.726 2 2 97
178 279.000 0.664 0.944 2 2 98
179 234.000 0.518 0.883 2 2 99
180 317.000 0.544 1.251 2 2 100
181 403.000 0.748 2.371 2 2 101
182 310.000 0.723 0.949 2 2 102
183 325.000 0.729 1.543 2 2 103
184 379.000 0.601 0.487 2 2 104
185 326.000 0.611 0.415 2 2 105
186 295.000 0.596 0.292 2 2 106
187 326.000 0.592 0.498 2 2 107
188 303.000 0.737 0.789 2 2 108
189 249.000 0.674 2.799 2 2 109
190 342.000 0.669 0.781 2 2 110
191 333.000 0.701 0.389 2 2 111
192 279.000 0.587 0.184 2 2 112
193 287.000 0.670 0.798 2 2 113
194 365.000 0.728 0.559 2 2 114
195 318.000 0.663 2.114 2 2 115
196 326.000 0.605 1.217 2 2 116
197 318.000 0.776 0.589 2 2 117
198 295.000 0.626 0.663 2 2 118
199 288.000 0.601 2.127 2 2 119
200 325.000 0.680 0.673 2 2 120
201 249.000 0.733 1.764 1 3 11
202 234.000 0.587 0.804 1 3 12
203 272.000 0.669 0.225 1 3 13
204 318.000 0.575 1.377 1 3 14
205 295.000 0.668 0.245 1 3 15
206 249.000 0.614 0.439 1 3 16
207 295.000 0.623 1.428 1 3 17
208 257.000 0.787 1.246 1 3 18
209 287.000 0.648 0.942 1 3 19
210 288.000 0.753 0.034 1 3 20
211 303.000 0.743 0.793 1 3 21
212 288.000 0.643 1.150 1 3 22
213 256.000 0.646 0.881 1 3 23
214 287.000 0.682 1.814 1 3 24
215 309.000 0.693 0.333 1 3 25
216 295.000 0.699 1.466 1 3 26
217 295.000 0.698 2.010 1 3 27
218 295.000 0.703 0.521 1 3 28
219 273.000 0.549 0.666 1 3 29
220 265.000 0.719 2.268 1 3 30
221 272.000 0.704 1.162 1 3 31
222 248.000 0.656 1.012 1 3 32
223 327.000 0.782 1.285 1 3 33
224 280.000 0.661 1.662 1 3 34
225 287.000 0.641 1.293 1 3 35
226 233.000 0.677 0.957 1 3 36
227 310.000 0.654 0.441 1 3 37
228 295.000 0.673 0.769 1 3 38
229 241.000 0.693 1.420 1 3 39
230 264.000 0.666 1.277 1 3 40
231 256.000 0.691 2.843 1 3 41
232 295.000 0.735 0.968 1 3 42
233 440.000 0.640 1.156 1 3 43
234 310.000 0.705 0.486 1 3 44
235 271.000 0.646 1.477 1 3 45
236 333.000 0.647 0.751 1 3 46
237 249.000 0.737 1.257 1 3 47
238 241.000 0.566 2.018 1 3 48
239 256.000 0.745 0.880 1 3 49
240 279.000 0.654 1.108 1 3 50
241 286.000 0.599 1.007 1 3 51
242 333.000 0.762 1.830 1 3 52
243 295.000 0.734 0.383 1 3 53
244 333.000 0.752 1.019 1 3 54
245 264.000 0.731 0.982 1 3 55
246 295.000 0.759 1.600 1 3 56
247 265.000 0.743 1.560 1 3 57
248 303.000 0.723 0.672 1 3 58
249 303.000 0.775 0.328 1 3 59
250 303.000 0.727 0.887 1 3 60
251 302.000 0.763 1.856 2 3 71
252 249.000 0.722 1.150 2 3 72
253 249.000 0.735 1.616 2 3 73
254 327.000 0.735 1.056 2 3 74
255 241.000 0.779 0.471 2 3 75
256 218.000 0.697 2.107 2 3 76
257 257.000 0.719 0.292 2 3 77
258 263.000 0.739 1.554 2 3 78
259 264.000 0.595 1.245 2 3 79
260 219.000 0.643 0.644 2 3 80
261 342.000 0.632 0.505 2 3 81
262 233.000 0.704 1.392 2 3 82
263 241.000 0.805 1.754 2 3 83
264 217.000 0.657 1.547 2 3 84
265 233.000 0.655 1.551 2 3 85
266 287.000 0.685 0.986 2 3 86
267 272.000 0.706 0.563 2 3 87
268 310.000 0.714 1.584 2 3 88
269 241.000 0.667 0.723 2 3 89
270 327.000 0.618 0.942 2 3 90
271 257.000 0.593 1.902 2 3 91
272 357.000 0.690 0.781 2 3 92
273 225.000 0.723 2.132 2 3 93
274 241.000 0.675 1.876 2 3 94
275 295.000 0.623 2.184 2 3 95
276 279.000 0.690 1.453 2 3 96
277 219.000 0.768 0.718 2 3 97
278 257.000 0.598 1.841 2 3 98
279 233.000 0.651 0.195 2 3 99
280 279.000 0.611 0.609 2 3 100
281 203.000 0.549 0.439 2 3 101
282 279.000 0.557 1.493 2 3 102
283 217.000 0.611 0.807 2 3 103
284 273.000 0.670 1.203 2 3 104
285 226.000 0.613 0.170 2 3 105
286 227.000 0.711 0.617 2 3 106
287 318.000 0.652 0.317 2 3 107
288 233.000 0.613 0.657 2 3 108
289 234.000 0.534 1.169 2 3 109
290 248.000 0.612 0.946 2 3 110
291 288.000 0.664 1.009 2 3 111
292 218.000 0.510 0.581 2 3 112
293 265.000 0.690 1.266 2 3 113
294 249.000 0.601 0.197 2 3 114
295 226.000 0.736 0.989 2 3 115
296 256.000 0.637 1.171 2 3 116
297 264.000 0.657 1.200 2 3 117
298 249.000 0.586 0.761 2 3 118
299 242.000 0.645 0.239 2 3 119
300 271.000 0.649 0.620 2 3 120
301 295.000 0.555 0.328 1 4 11
302 326.000 0.577 0.572 1 4 12
303 295.000 0.743 1.004 1 4 13
304 310.000 0.601 0.274 1 4 14
305 349.000 0.558 2.289 1 4 15
306 341.000 0.659 1.808 1 4 16
307 364.000 0.611 0.145 1 4 17
308 302.000 0.637 0.977 1 4 18
309 365.000 0.602 1.228 1 4 19
310 311.000 0.546 0.605 1 4 20
311 333.000 0.764 1.022 1 4 21
312 348.000 0.622 0.702 1 4 22
313 296.000 0.635 1.341 1 4 23
314 395.000 0.556 0.204 1 4 24
315 464.000 0.624 1.582 1 4 25
316 356.000 0.843 1.044 1 4 26
317 426.000 0.705 0.414 1 4 27
318 388.000 0.620 0.266 1 4 28
319 334.000 0.641 0.465 1 4 29
320 365.000 0.617 0.793 1 4 30
321 333.000 0.632 0.663 1 4 31
322 357.000 0.572 0.482 1 4 32
323 295.000 0.761 0.821 1 4 33
324 334.000 0.769 1.246 1 4 34
325 357.000 0.718 1.570 1 4 35
326 334.000 0.632 0.568 1 4 36
327 333.000 0.676 0.494 1 4 37
328 372.000 0.571 0.958 1 4 38
329 318.000 0.603 0.419 1 4 39
330 303.000 0.818 0.173 1 4 40
331 311.000 0.616 0.080 1 4 41
332 302.000 0.779 1.712 1 4 42
333 357.000 0.686 1.121 1 4 43
334 364.000 0.543 1.227 1 4 44
335 357.000 0.643 1.607 1 4 45
336 403.000 0.539 1.679 1 4 46
337 287.000 0.725 0.654 1 4 47
338 310.000 0.686 1.140 1 4 48
339 356.000 0.714 0.382 1 4 49
340 333.000 0.603 0.213 1 4 50
341 295.000 0.620 0.773 1 4 51
342 348.000 0.611 0.688 1 4 52
343 318.000 0.610 0.124 1 4 53
344 364.000 0.735 0.287 1 4 54
345 357.000 0.601 0.514 1 4 55
346 357.000 0.731 0.901 1 4 56
347 325.000 0.728 0.200 1 4 57
348 309.000 0.642 0.201 1 4 58
349 295.000 0.723 0.241 1 4 59
350 288.000 0.594 0.357 1 4 60
351 257.000 0.515 2.727 2 4 71
352 234.000 0.761 0.703 2 4 72
353 272.000 0.592 0.670 2 4 73
354 273.000 0.791 2.187 2 4 74
355 264.000 0.761 0.808 2 4 75
356 265.000 0.637 0.398 2 4 76
357 264.000 0.793 0.747 2 4 77
358 280.000 0.648 1.034 2 4 78
359 272.000 0.584 1.851 2 4 79
360 288.000 0.776 2.430 2 4 80
361 303.000 0.702 1.615 2 4 81
362 263.000 0.624 1.005 2 4 82
363 295.000 0.603 0.343 2 4 83
364 280.000 0.611 0.366 2 4 84
365 287.000 0.605 1.152 2 4 85
366 295.000 0.634 1.489 2 4 86
367 249.000 0.644 1.127 2 4 87
368 265.000 0.658 1.279 2 4 88
369 272.000 0.738 1.165 2 4 89
370 287.000 0.665 1.353 2 4 90
371 280.000 0.671 0.359 2 4 91
372 272.000 0.603 1.392 2 4 92
373 311.000 0.665 0.476 2 4 93
374 272.000 0.840 1.504 2 4 94
375 311.000 0.804 2.257 2 4 95
376 287.000 0.467 1.019 2 4 96
377 288.000 0.618 0.321 2 4 97
378 248.000 0.579 0.718 2 4 98
379 264.000 0.651 1.478 2 4 99
380 309.000 0.829 2.579 2 4 100
381 303.000 0.601 1.064 2 4 101
382 365.000 0.550 0.402 2 4 102
383 295.000 0.543 0.882 2 4 103
384 303.000 0.741 1.147 2 4 104
385 326.000 0.616 0.768 2 4 105
386 272.000 0.776 0.545 2 4 106
387 372.000 0.725 1.191 2 4 107
388 272.000 0.486 0.849 2 4 108
389 271.000 0.757 0.791 2 4 109
390 294.000 0.646 0.592 2 4 110
391 326.000 0.616 1.630 2 4 111
392 295.000 0.733 0.775 2 4 112
393 295.000 0.766 0.611 2 4 113
394 311.000 0.563 1.653 2 4 114
395 272.000 0.663 1.153 2 4 115
396 248.000 0.623 1.156 2 4 116
397 295.000 0.570 0.630 2 4 117
398 334.000 0.644 0.754 2 4 118
399 232.000 0.631 0.315 2 4 119
400 309.000 0.694 0.693 2 4 120
401 334.000 0.601 1.182 1 5 11
402 403.000 0.615 0.934 1 5 12
403 357.000 0.672 0.710 1 5 13
404 341.000 0.631 1.726 1 5 14
405 357.000 0.575 1.106 1 5 15
406 379.000 0.570 0.183 1 5 16
407 426.000 0.628 0.951 1 5 17
408 341.000 0.658 0.411 1 5 18
409 326.000 0.610 0.317 1 5 19
410 311.000 0.572 0.491 1 5 20
411 395.000 0.712 0.554 1 5 21
412 349.000 0.784 1.675 1 5 22
413 333.000 0.616 0.302 1 5 23
414 457.000 0.677 1.542 1 5 24
415 426.000 0.644 0.777 1 5 25
416 388.000 0.671 0.799 1 5 26
