Lat Vpeak Err Block Subj Trial
160 242.000 0.734 1.841 2 2 80
161 240.000 0.663 2.019 2 2 81
162 288.000 0.630 0.737 2 2 82
163 249.000 0.711 0.615 2 2 83
164 241.000 0.680 1.495 2 2 84
165 265.000 0.684 0.614 2 2 85
166 226.000 0.608 2.145 2 2 86
167 265.000 0.650 0.211 2 2 87
168 195.000 0.733 1.845 2 2 88
169 233.000 0.697 0.455 2 2 89
170 242.000 0.680 0.978 2 2 90
171 202.000 0.796 1.266 2 2 91
172 210.000 0.776 0.464 2 2 92
173 241.000 0.580 0.544 2 2 93
174 242.000 0.638 0.605 2 2 94
175 242.000 0.649 1.057 2 2 95
176 249.000 0.666 1.492 2 2 96
177 256.000 0.575 0.892 2 2 97
178 233.000 0.731 0.756 2 2 98
179 233.000 0.636 0.111 2 2 99
180 256.000 0.689 1.311 2 2 100
181 211.000 0.705 1.815 2 2 101
182 226.000 0.597 0.927 2 2 102
183 242.000 0.643 1.275 2 2 103
184 242.000 0.708 1.914 2 2 104
185 241.000 0.539 1.054 2 2 105
186 233.000 0.677 0.807 2 2 106
187 266.000 0.572 0.531 2 2 107
188 203.000 0.600 0.644 2 2 108
189 240.000 0.613 1.350 2 2 109
190 218.000 0.595 1.117 2 2 110
191 233.000 0.726 0.882 2 2 111
192 203.000 0.613 0.967 2 2 112
193 288.000 0.688 1.235 2 2 113
194 256.000 0.583 0.306 2 2 114
195 234.000 0.538 0.504 2 2 115
196 226.000 0.525 0.813 2 2 116
197 233.000 0.674 0.617 2 2 117
198 241.000 0.615 0.257 2 2 118
199 211.000 0.634 0.223 2 2 119
200 196.000 0.552 1.914 2 2 120
201 257.000 0.558 1.143 1 3 11
202 289.000 0.542 0.410 1 3 12
203 271.000 0.538 0.629 1 3 13
204 287.000 0.543 1.149 1 3 14
205 265.000 0.494 0.874 1 3 15
206 280.000 0.508 1.129 1 3 16
207 265.000 0.596 0.289 1 3 17
208 271.000 0.542 1.667 1 3 18
209 280.000 0.535 0.675 1 3 19
210 264.000 0.537 0.854 1 3 20
211 264.000 0.603 1.753 1 3 21
212 272.000 0.630 0.620 1 3 22
213 264.000 0.558 0.248 1 3 23
214 287.000 0.538 0.615 1 3 24
215 280.000 0.567 0.285 1 3 25
216 256.000 0.521 0.365 1 3 26
217 288.000 0.489 0.195 1 3 27
218 250.000 0.564 0.489 1 3 28
219 249.000 0.558 0.479 1 3 29
